"mahalle_id","mahalle","ilce","toplam_siparis","musteri_sayisi","nufus","talep_yogunlugu","agirlikli_ses_skoru","mahalle_segmenti"
936,"Yüzüncüyıl","Nilüfer","438","291","18806","0.0233","5.56","A - Premium"
926,"Yunuseli","Osmangazi","768","472","42519","0.0181","6.53","A - Premium"
3,"23 Nisan","Nilüfer","956","617","21042","0.0454","6.22","A - Premium"
202,"Demirci","Nilüfer","463","278","15415","0.0300","4.56","A - Premium"
111,"Balkan","Nilüfer","506","345","19594","0.0258","5.79","A - Premium"
286,"Ertuğrul","Nilüfer","338","223","13058","0.0259","3.86","A - Premium"
590,"Kültür","Nilüfer","472","274","13452","0.0351","3.98","A - Premium"
75,"Ataevler","Nilüfer","529","338","17793","0.0297","5.26","A - Premium"
4,"29 Ekim","Nilüfer","510","315","14587","0.0350","4.31","A - Premium"
294,"Esentepe","Nilüfer","313","225","13096","0.0239","3.87","A - Premium"
246,"Dumlupınar","Nilüfer","2483","1634","28594","0.0868","8.45","A - Premium"
109,"Balat","Nilüfer","622","416","21167","0.0294","6.26","A - Premium"
363,"Görükle","Nilüfer","2317","1607","32489","0.0713","9.60","A - Premium"
319,"Fethiye","Nilüfer","513","327","21920","0.0234","6.48","A - Premium"
63,"Altınşehir","Nilüfer","932","529","18830","0.0495","5.57","A - Premium"
17,"Ahmet Yesevi","Nilüfer","359","223","9021","0.0398","2.67","A - Premium"
177,"Cumhuriyet","Nilüfer","679","415","16705","0.0406","4.94","A - Premium"
1031,"İhsaniye","Nilüfer","579","385","28846","0.0201","8.53","A - Premium"
574,"Kurtuluş","Nilüfer","211","141","8609","0.0245","2.54","A - Premium"
1025,"Üçevler","Nilüfer","843","507","27559","0.0306","8.15","A - Premium"
679,"Odunluk","Nilüfer","480","297","7362","0.0652","2.18","A - Premium"
955,"Çamlıca","Nilüfer","377","251","17741","0.0213","5.24","A - Premium"
551,"Konak","Nilüfer","504","371","24807","0.0203","7.33","A - Premium"
120,"Barış","Nilüfer","388","271","13667","0.0284","4.04","A - Premium"
230,"Dikkaldırım","Osmangazi","323","231","18401","0.0176","2.83","A - Premium"
143,"Beşevler","Nilüfer","645","403","23320","0.0277","6.89","A - Premium"
419,"Hamitler","Osmangazi","578","405","52062","0.0111","8.00","B - Erişim Sorunu"
609,"Kızılcıklı","Nilüfer","92","63","10880","0.0085","3.22","B - Erişim Sorunu"
228,"Değirmenlikızık","Yıldırım","51","42","16721","0.0031","3.32","B - Erişim Sorunu"
54,"Alemdar","Osmangazi","25","18","21846","0.0011","3.36","B - Erişim Sorunu"
646,"Mimarsinan","Yıldırım","71","56","11893","0.0060","2.36","B - Erişim Sorunu"
272,"Emek Adnan Menderes","Osmangazi","341","234","33919","0.0101","5.21","B - Erişim Sorunu"
273,"Emek Fatih Sultan Mehmet","Osmangazi","134","101","24404","0.0055","3.75","B - Erişim Sorunu"
697,"Ortabağlar","Yıldırım","55","46","15172","0.0036","3.01","B - Erişim Sorunu"
726,"Piremir","Yıldırım","47","37","12580","0.0037","2.50","B - Erişim Sorunu"
67,"Arabayatağı","Yıldırım","12","12","21622","0.0006","4.29","B - Erişim Sorunu"
285,"Erikli","Yıldırım","45","36","11898","0.0038","2.36","B - Erişim Sorunu"
758,"Selçukbey","Yıldırım","45","34","11185","0.0040","2.22","B - Erişim Sorunu"
291,"Esenevler","Yıldırım","38","23","17361","0.0022","3.45","B - Erişim Sorunu"
310,"Eğitim","Yıldırım","42","26","11176","0.0038","2.22","B - Erişim Sorunu"
347,"Geçit","Osmangazi","301","227","19195","0.0157","2.95","B - Erişim Sorunu"
863,"Yavuzselım","Yıldırım","5","5","14300","0.0003","2.84","B - Erişim Sorunu"
881,"Yenibağlar","Osmangazi","76","62","17576","0.0043","2.70","B - Erişim Sorunu"
383,"Güneştepe","Osmangazi","374","251","29554","0.0127","4.54","B - Erişim Sorunu"
398,"Hacivat","Yıldırım","7","5","16220","0.0004","3.22","B - Erişim Sorunu"
945,"Zümrütevler","Yıldırım","26","24","13043","0.0020","2.59","B - Erişim Sorunu"
1008,"Çınarönü","Yıldırım","1","1","14421","0.0001","2.86","B - Erişim Sorunu"
129,"Bağlaraltı","Yıldırım","50","45","18045","0.0028","3.58","B - Erişim Sorunu"
130,"Bağlarbaşı","Osmangazi","308","235","35887","0.0086","5.51","B - Erişim Sorunu"
456,"Hüdavendigar","Osmangazi","341","226","22179","0.0154","3.41","B - Erişim Sorunu"
501,"Karaman","Nilüfer","184","123","11484","0.0160","3.39","B - Erişim Sorunu"
7,"75.Yıl","Yıldırım","16","15","10815","0.0015","2.15","B - Erişim Sorunu"
225,"Dereçavuşköy","Osmangazi","29","22","474","0.0612","0.07","C - Fiyat Duyarlı"
739,"Sakarya","Osmangazi","124","86","4197","0.0295","0.64","C - Fiyat Duyarlı"
730,"Reyhan","Osmangazi","22","12","504","0.0437","0.08","C - Fiyat Duyarlı"
399,"Hacı İlyas","Osmangazi","56","42","2439","0.0230","0.37","C - Fiyat Duyarlı"
701,"Osmangazi","Osmangazi","60","45","2086","0.0288","0.32","C - Fiyat Duyarlı"
213,"Demirtaşpaşa","Osmangazi","79","66","4024","0.0196","0.62","C - Fiyat Duyarlı"
685,"Orhanbey","Osmangazi","13","11","291","0.0447","0.04","C - Fiyat Duyarlı"
981,"Çekirge","Osmangazi","276","173","11143","0.0248","1.71","C - Fiyat Duyarlı"
589,"Kükürtlü","Osmangazi","375","257","11217","0.0334","1.72","C - Fiyat Duyarlı"
1010,"Çırpan","Osmangazi","111","78","4908","0.0226","0.75","C - Fiyat Duyarlı"
1017,"Özlüce","Nilüfer","149","101","4073","0.0366","1.20","C - Fiyat Duyarlı"
19,"Ahmetpaşa","Osmangazi","40","32","1802","0.0222","0.28","C - Fiyat Duyarlı"
571,"Kurtoğlu","Yıldırım","74","40","3313","0.0223","0.66","C - Fiyat Duyarlı"
668,"Nalbantoğlu","Osmangazi","37","22","1405","0.0263","0.22","C - Fiyat Duyarlı"
526,"Kayıhan","Osmangazi","45","35","1214","0.0371","0.19","C - Fiyat Duyarlı"
446,"Hocaalizade","Osmangazi","47","30","1675","0.0281","0.26","C - Fiyat Duyarlı"
1053,"İstiklal","Osmangazi","224","134","9588","0.0234","1.47","C - Fiyat Duyarlı"
447,"Hocahasan","Osmangazi","79","55","4356","0.0181","0.67","C - Fiyat Duyarlı"
545,"Kiremitçi","Osmangazi","109","67","3037","0.0359","0.47","C - Fiyat Duyarlı"
1062,"Şehreküstü","Osmangazi","16","13","409","0.0391","0.06","C - Fiyat Duyarlı"
50,"Alacamescit","Osmangazi","22","15","290","0.0759","0.04","C - Fiyat Duyarlı"
336,"Gaziakdemir","Osmangazi","64","44","2844","0.0225","0.44","C - Fiyat Duyarlı"
835,"Tuzpazarı","Osmangazi","11","7","279","0.0394","0.04","C - Fiyat Duyarlı"
838,"Ulu","Osmangazi","119","68","2024","0.0588","0.31","C - Fiyat Duyarlı"
13,"Adalet","Osmangazi","110","74","5219","0.0211","0.80","C - Fiyat Duyarlı"
806,"Tahtakale","Osmangazi","26","18","1207","0.0215","0.19","C - Fiyat Duyarlı"
232,"Doburca","Osmangazi","15","9","760","0.0197","0.12","C - Fiyat Duyarlı"
2,"19 Mayıs","Nilüfer","286","185","4371","0.0654","1.29","C - Fiyat Duyarlı"
607,"Kırcaali","Osmangazi","77","40","1382","0.0557","0.21","C - Fiyat Duyarlı"
755,"Selimiye","Osmangazi","45","26","2088","0.0216","0.32","C - Fiyat Duyarlı"
742,"Santral Garaj","Osmangazi","63","29","794","0.0793","0.12","C - Fiyat Duyarlı"
47,"Alaaddinbey","Nilüfer","38","30","965","0.0394","0.29","C - Fiyat Duyarlı"
907,"Yeşil","Yıldırım","60","46","2596","0.0231","0.52","C - Fiyat Duyarlı"
1071,"Şükraniye","Yıldırım","66","55","8559","0.0077","1.70","D - Düşük Potansiyel"
31,"Akpınar","Osmangazi","104","80","10886","0.0096","1.67","D - Düşük Potansiyel"
34,"Aktarhüssam","Osmangazi","14","11","1386","0.0101","0.21","D - Düşük Potansiyel"
46,"Alaaddin","Osmangazi","16","13","2055","0.0078","0.32","D - Düşük Potansiyel"
49,"Alacahırka","Osmangazi","19","14","3726","0.0051","0.57","D - Düşük Potansiyel"
56,"Alipaşa","Osmangazi","17","15","2248","0.0076","0.35","D - Düşük Potansiyel"
64,"Altıparmak","Osmangazi","14","12","2050","0.0068","0.31","D - Düşük Potansiyel"
66,"Anadolu","Yıldırım","29","23","1966","0.0148","0.39","D - Düşük Potansiyel"
101,"Bahar","Osmangazi","24","15","5764","0.0042","0.89","D - Düşük Potansiyel"
119,"Baruthane","Yıldırım","26","19","7916","0.0033","1.57","D - Düşük Potansiyel"
139,"Beyazıt","Yıldırım","53","44","7164","0.0074","1.42","D - Düşük Potansiyel"
184,"Davutdede","Yıldırım","40","28","6470","0.0062","1.28","D - Düşük Potansiyel"
185,"Davutkadı","Yıldırım","31","23","6732","0.0046","1.34","D - Düşük Potansiyel"
206,"Demirkapı","Osmangazi","8","4","1575","0.0051","0.24","D - Düşük Potansiyel"
235,"Doğanbey","Osmangazi","30","19","2609","0.0115","0.40","D - Düşük Potansiyel"
244,"Duaçınarı","Yıldırım","15","10","2710","0.0055","0.54","D - Düşük Potansiyel"
261,"Ebu İshak","Osmangazi","16","11","960","0.0167","0.15","D - Düşük Potansiyel"
269,"Elmasbahçeler","Osmangazi","98","69","9467","0.0104","1.45","D - Düşük Potansiyel"
274,"Emek Zekai Gümüşdiş","Osmangazi","118","64","9937","0.0119","1.53","D - Düşük Potansiyel"
277,"Emirsultan","Yıldırım","31","23","5766","0.0054","1.14","D - Düşük Potansiyel"
289,"Ertuğrulgazi","Yıldırım","21","16","9028","0.0023","1.79","D - Düşük Potansiyel"
313,"FETHİYEOSB","Nilüfer","14","12",NULL,NULL,NULL,"D - Düşük Potansiyel"
368,"Gülbahçe","Osmangazi","10","8","7575","0.0013","1.16","D - Düşük Potansiyel"
371,"Güllük","Yıldırım","28","27","9609","0.0029","1.91","D - Düşük Potansiyel"
374,"Gümüştepe","Nilüfer","6","3","2552","0.0024","0.75","D - Düşük Potansiyel"
406,"Hacıseyfettin","Yıldırım","26","20","7121","0.0037","1.41","D - Düşük Potansiyel"
420,"Hamzabey","Osmangazi","5","5","2661","0.0019","0.41","D - Düşük Potansiyel"
451,"Hocataşkın","Yıldırım","11","7","1221","0.0090","0.24","D - Düşük Potansiyel"
457,"Hürriyet","Osmangazi","42","27","4633","0.0091","0.71","D - Düşük Potansiyel"
464,"IŞIKTEPEOSB","Nilüfer","210","123",NULL,NULL,NULL,"D - Düşük Potansiyel"
467,"Işıktepe","Nilüfer","33","22","3839","0.0086","1.13","D - Düşük Potansiyel"
479,"Karaağaç","Yıldırım","83","61","6398","0.0130","1.27","D - Düşük Potansiyel"
502,"Karamazak","Yıldırım","38","21","3768","0.0101","0.75","D - Düşük Potansiyel"
517,"Kavaklı","Osmangazi","15","10","1084","0.0138","0.17","D - Düşük Potansiyel"
549,"Kocanaip","Osmangazi","7","6","1662","0.0042","0.26","D - Düşük Potansiyel"
563,"Koğukçınar","Osmangazi","12","9","5891","0.0020","0.90","D - Düşük Potansiyel"
576,"Kuruçeşme","Osmangazi","8","8","938","0.0085","0.14","D - Düşük Potansiyel"
625,"Maksem","Osmangazi","26","18","4333","0.0060","0.67","D - Düşük Potansiyel"
627,"Maltepe","Yıldırım","19","16","6579","0.0029","1.31","D - Düşük Potansiyel"
635,"Mehmetakifersoy","Yıldırım","27","23","6675","0.0040","1.32","D - Düşük Potansiyel"
643,"Meydancık","Yıldırım","22","17","2095","0.0105","0.42","D - Düşük Potansiyel"
649,"Mollaarap","Yıldırım","52","39","8280","0.0063","1.64","D - Düşük Potansiyel"
650,"Mollafenari","Osmangazi","20","16","5766","0.0035","0.89","D - Düşük Potansiyel"
651,"Mollagürani","Osmangazi","1","1","747","0.0013","0.11","D - Düşük Potansiyel"
653,"Muradiye","Osmangazi","50","34","3213","0.0156","0.49","D - Düşük Potansiyel"
658,"Musababa","Yıldırım","16","13","3137","0.0051","0.62","D - Düşük Potansiyel"
670,"Namazgah","Yıldırım","43","30","4070","0.0106","0.81","D - Düşük Potansiyel"
671,"Namık Kemal","Osmangazi","6","4","7615","0.0008","1.17","D - Düşük Potansiyel"
727,"Pınarbaşı","Osmangazi","21","15","2123","0.0099","0.33","D - Düşük Potansiyel"
751,"Selamet","Osmangazi","12","12","6484","0.0019","1.00","D - Düşük Potansiyel"
756,"Selimzade","Yıldırım","24","20","3476","0.0069","0.69","D - Düşük Potansiyel"
767,"Sinandede","Yıldırım","53","40","6346","0.0084","1.26","D - Düşük Potansiyel"
769,"Siteler","Yıldırım","6","6","5025","0.0012","1.00","D - Düşük Potansiyel"
775,"Soğukkuyu","Osmangazi","88","60","9738","0.0090","1.50","D - Düşük Potansiyel"
800,"Sıracevizler","Yıldırım","19","17","6500","0.0029","1.29","D - Düşük Potansiyel"
801,"Sırameşeler","Osmangazi","43","35","12478","0.0034","1.92","D - Düşük Potansiyel"
811,"Tayakadın","Osmangazi","18","13","1800","0.0100","0.28","D - Düşük Potansiyel"
816,"Teferrüç","Yıldırım","21","17","5558","0.0038","1.10","D - Düşük Potansiyel"
843,"Umurbey","Yıldırım","28","26","5545","0.0050","1.10","D - Düşük Potansiyel"
854,"Yahşibey","Osmangazi","31","17","2725","0.0114","0.42","D - Düşük Potansiyel"
872,"Yediselviler","Yıldırım","9","8","4278","0.0021","0.85","D - Düşük Potansiyel"
895,"Yenikaraman","Osmangazi","133","93","10629","0.0125","1.63","D - Düşük Potansiyel"
896,"Yenikent","Osmangazi","22","14","6736","0.0033","1.03","D - Düşük Potansiyel"
906,"Yenımahalle","Yıldırım","43","36","3973","0.0108","0.79","D - Düşük Potansiyel"
913,"Yeşilyayla","Yıldırım","15","13","6440","0.0023","1.28","D - Düşük Potansiyel"
938,"Yıldırım","Yıldırım","83","63","6575","0.0126","1.30","D - Düşük Potansiyel"
940,"Zafer","Osmangazi","38","30","3873","0.0098","0.59","D - Düşük Potansiyel"
1027,"İbrahimpaşa","Osmangazi","25","16","2217","0.0113","0.34","D - Düşük Potansiyel"
1039,"İnkaya","Osmangazi","12","5","702","0.0171","0.11","D - Düşük Potansiyel"
1041,"İntizam","Osmangazi","45","33","3118","0.0144","0.48","D - Düşük Potansiyel"
1054,"İvazpaşa","Osmangazi","13","11","2675","0.0049","0.41","D - Düşük Potansiyel"
1060,"Şehabettinpaşa","Osmangazi","1","1","868","0.0012","0.13","D - Düşük Potansiyel"
1,"152evler","Yıldırım","85","71","8775","0.0097","1.74","D - Düşük Potansiyel"
